0,89.427,92.249,89.199,91.221
1,91.221,92.222,90.722,92.021
2,92.021,92.409,90.882,91.461
3,91.461,91.661,90.127,90.466
4,90.466,90.754,89.697,90.391
5,90.391,91.108,89.807,90.93
6,90.93,92.027,90.532,91.96
7,91.96,92.07,91.418,91.733
8,91.733,92.751,91.553,92.402
9,92.402,93.954,92.087,93.778
10,93.778,94.465,93.296,94.194
11,94.194,94.379,92.503,93.031
12,93.031,94.94,92.755,94.602
13,94.602,96.931,94.254,96.627
14,96.627,97.78,96.351,97.387
15,97.387,98.71,97.313,98.497
16,98.497,98.603,96.855,97.594
17,97.594,97.894,96.913,97.469
18,97.469,98.594,96.996,98.165
19,98.165,99.477,98.138,99.147
20,99.147,99.673,97.717,98.077
21,98.077,98.498,96.576,98.272
22,98.272,99.186,97.894,98.837
23,98.837,99.131,97.898,98.66
24,98.66,98.844,97.031,97.272
25,97.272,98.523,95.659,97.711
26,97.711,98.651,97.131,98.021
27,98.021,98.641,97.551,98.171
28,98.171,98.965,98.07,98.583
29,98.583,98.843,95.653,96.241
30,96.241,96.601,93.54,94.501
31,94.501,96.259,94.146,95.889
32,95.889,97.341,95.418,96.941
33,96.941,98.56,96.915,97.856
34,97.856,98.354,96.904,97.527
35,97.527,98.857,97.431,98.701
36,98.701,98.861,97.094,97.919
37,97.919,98.316,95.951,97.245
38,97.245,99.359,97.217,98.947
39,98.947,99.464,98.21,98.511
40,98.511,99.9,98.387,99.516
41,99.516,100.296,99.34,100.26
42,100.26,101.435,100.172,100.971
43,100.971,101.091,99.843,100.39
44,100.39,100.872,99.301,99.725
45,99.725,100.564,99.627,100.397
46,100.397,100.717,100.192,100.283
47,100.283,100.716,99.845,100.075
48,100.075,100.422,98.732,98.963
49,98.963,99.652,98.132,99.356
50,99.356,99.498,98.52,99.25
51,99.25,99.747,98.705,99.23
52,99.23,99.402,97.651,97.869
53,97.869,98.909,97.716,98.695
54,98.695,98.737,97.572,97.983
55,97.983,98.433,97.622,97.944
56,97.944,98.137,96.629,97.099
57,97.099,97.104,96.423,96.751
58,96.751,96.775,95.613,96.424
59,96.424,97.972,96.369,97.631
60,97.631,98.984,97.132,98.606
61,98.606,99.57,98.512,99.255
62,99.255,99.562,98.719,98.766
63,98.766,99.206,98.606,98.793
64,98.793,99.073,97.923,98.286
65,98.286,99.748,98.269,99.089
66,99.089,99.559,98.316,98.435
67,98.435,98.815,97.257,97.458
68,97.458,97.831,96.105,96.417
69,96.417,96.686,95.14,95.283
70,95.283,95.86,95.11,95.767
71,95.767,96.178,94.725,95.115
72,95.115,96.455,94.549,96.277
73,96.277,96.696,95.892,95.96
74,95.96,96.215,94.68,94.864
75,94.864,95.263,93.958,94.39
76,94.39,94.915,93.845,94.799
77,94.799,95.205,94.414,94.79
78,94.79,95.137,94.507,95.004
79,95.004,95.497,94.651,95.316
80,95.316,97.236,95.221,96.831
81,96.831,97,95.013,95.27
82,95.27,96.801,94.442,96.452
83,96.452,96.646,95.325,95.747
84,95.747,96.419,95.364,95.963
85,95.963,96.968,95.868,96.543
86,96.543,98.876,96.505,98.837
87,98.837,98.852,98.197,98.442
88,98.442,98.563,97.245,97.368
89,97.368,98.435,97.081,98.092
90,98.092,98.555,97.275,97.612
91,97.612,98.416,97.466,98.359
92,98.359,98.566,97.577,97.79
93,97.79,97.882,96.069,96.371
94,96.371,96.777,95.513,95.711
95,95.711,96.683,95.622,96.39
96,96.39,97.172,95.995,96.179
97,96.179,96.302,95.713,95.838
98,95.838,95.955,94.871,95.214
99,95.214,96.046,95.02,95.627
